id,english,japanese
1,dog,犬
2,cat,猫
3,book,本
4,pen,ペン
5,pencil,えんぴつ
6,bag,かばん
7,camera,カメラ
8,bed,ベッド
9,map,地図
10,car,車
11,bike,自転車
12,box,箱
13,apple,リンゴ
14,lemon,レモン
15,orange,オレンジ
16,tomato,トマト
17,egg,卵
18,ball,ボール
19,flower,花
20,tree,木
21,desk,机
22,table,テーブル
23,chair,いす
24,cup,カップ
25,milk,牛乳
26,hat,ぼうし
27,album,アルバム
28,bus,バス
29,park,公園
30,bird,鳥
31,boy,男の子
32,girl,女の子
33,man,男性
34,woman,女性
35,brother,兄・弟
36,sister,姉・妹
37,father,父
38,mother,母
39,uncle,おじ
40,aunt,おば
41,fish,魚
42,cake,ケーキ
43,tea,お茶
44,eraser,消しゴム
45,watch,腕時計
46,name,名前
47,room,部屋
48,house,家
49,piano,ピアノ
50,guitar,ギター
51,doll,人形
52,notebook,ノート
53,rice,ごはん
54,bread,パン
55,student,生徒
56,teacher,先生
57,doctor,医者
58,nurse,看護師
59,singer,歌手
60,friend,友達
61,America,アメリカ
62,Canada,カナダ
63,China,中国
64,Korea,韓国
65,Japan,日本
66,baseball,野球
67,soccer,サッカー
68,tennis,テニス
69,player,選手
70,fan,ファン
71,racket,ラケット
72,computer,コンピューター
73,animal,動物
74,rabbit,うさぎ
75,zoo,動物園
76,school,学校
77,library,図書館
78,station,駅
79,train,電車
80,plane,飛行機
81,knife,ナイフ
82,knives,ナイフ(複)
83,leaf,葉
84,leaves,葉(複)
85,tooth,歯
86,teeth,歯(複)
87,foot,足
88,feet,足(複)
89,man,男の人
90,men,男の人(複)
91,woman,女の人
92,women,女の人(複)
93,child,子ども
94,children,子ども(複)
95,deer,シカ
96,deer,シカ(複)
97,sheep,羊
98,sheep,羊(複)
99,Japanese,日本人
100,Japanese,日本人(複)
101,big,大きい
102,little,小さい
103,old,古い・年とった
104,new,新しい
105,young,若い
106,long,長い
107,short,短い・背の低い
108,tall,背の高い
109,pretty,かわいい
110,nice,すてきな
111,kind,親切な
112,busy,忙しい
113,hard,熱心に
114,fast,速く
115,early,早く
116,well,上手に
117,always,いつも
118,usually,たいてい
119,often,しばしば
120,sometimes,ときどき
